UMAP1,UMAP2,cluster,cell_type
2.7868767,2.1047657,4,Astrocytes
0.11293862,-6.5069895,2,Oligodendrocytes
-0.6015332,-5.9121184,2,Endothelial
6.8206983,1.0397276,1,Endothelial
8.295469,2.7660346,1,Oligodendrocytes
15.51585,-3.5276203,0,Endothelial
0.5003318,-1.4904951,2,OPCs
15.563654,-2.2824075,0,Endothelial
16.131058,0.9331677,5,Neurons
3.957749,-9.312539,3,Endothelial
2.7483995,2.3775053,4,Astrocytes
9.945817,2.6907146,1,Oligodendrocytes
9.066839,-3.2891583,0,Neurons
-0.26411977,-5.992021,2,Microglia
12.094225,-5.821838,0,Microglia
13.1656885,-1.8724065,0,Neurons
5.5588593,2.0722947,1,Astrocytes
6.06456,-3.9207754,3,Neurons
8.498222,3.4486423,1,Oligodendrocytes
14.178762,-1.4618659,0,Neurons
15.346488,-2.0750897,0,Neurons
-0.5972129,-3.3059714,2,OPCs
0.16884956,-6.900678,2,Endothelial
8.796483,3.9742668,1,Neurons
8.46454,4.6441875,1,Oligodendrocytes
11.497586,-3.1727247,0,Neurons
6.017757,0.3361063,1,Pericytes
14.394476,3.517535,0,Neurons
8.807683,2.6616378,1,Oligodendrocytes
9.624462,-1.2085745,0,Neurons
-0.16178107,-5.666004,2,Microglia
9.283843,-2.0399961,0,Neurons
7.2791896,3.572749,1,Oligodendrocytes
5.9881945,-1.2332354,1,OPCs
10.7629175,1.0978094,1,Neurons
5.13749,-4.683703,3,Neurons
8.18286,2.6689093,1,Oligodendrocytes
16.791485,0.27649787,5,Neurons
-0.09316044,-3.7549753,2,Endothelial
0.053458218,-3.8555567,2,OPCs
-0.906304,-4.515225,2,Microglia
12.816449,6.0570974,1,Pericytes
4.8785396,-7.1428103,3,Endothelial
-1.5908866,-4.129492,2,Endothelial
7.3441133,-2.451415,0,Endothelial
10.83414,-1.0263462,0,Neurons
3.0606973,2.2569714,4,Astrocytes
5.0725527,7.162546,6,Oligodendrocytes
5.3363543,-7.4884977,3,Neurons
